ITEM  SCL SDA
0   1   1
1   1   1
2   1   0
3   0   0
4   0   0
5   1   0
6   0   0
7   0   0
8   1   0
9   0   0
10   0   1
11   1   1
12   0   1
13   0   1
14   1   1
15   0   1
16   0   0
17   1   0
18   0   0
19   0   1
20   1   1
21   0   1
22   0   0
23   1   0
24   0   0
25   0   0
26   1   0
27   0   0
28   0   0
29   1   0
30   0   0
31   0   0
32   1   0
33   0   0
34   0   1
35   1   1
36   0   1
37   0   0
38   1   0
39   0   0
40   0   1
41   1   1
42   0   1
43   0   0
44   1   0
45   0   0
46   0   1
47   1   1
48   0   1
49   0   0
50   1   0
51   0   0
52   0   1
53   1   1
54   0   1
55   0   0
56   1   0
57   0   0
58   0   0
59   1   0
60   0   0
61   0   0
62   1   0
63   0   0
64   0   1
65   1   1
66   0   1
67   0   0
68   1   0
69   0   0
70   0   0
71   1   0
72   0   0
73   0   0
74   1   0
75   0   0
76   0   1
77   1   1
78   0   1
79   0   0
80   1   0
81   0   0
82   0   0
83   1   0
84   0   0
85   0   0
86   1   0
87   1   1
88   1   1
89   1   1
90   1   0
91   0   0
92   0   0
93   1   0
94   0   0
95   0   0
96   1   0
97   0   0
98   0   1
99   1   1
100   0   1
101   0   1
102   1   1
103   0   1
104   0   0
105   1   0
106   0   0
107   0   1
108   1   1
109   0   1
110   0   0
111   1   0
112   0   0
113   0   1
114   1   1
115   0   1
116   0   0
117   1   0
118   0   0
119   0   1
120   1   1
121   0   1
122   0   0
123   1   0
124   0   0
125   0   1
126   1   1
127   0   1
128   0   0
129   1   0
130   0   0
131   0   1
132   1   1
133   0   1
134   0   0
135   1   0
136   0   0
137   0   1
138   1   1
139   0   1
140   0   0
141   1   0
142   0   0
143   0   0
144   1   0
145   0   0
146   0   0
147   1   0
148   0   0
149   0   0
150   1   0
151   0   0
152   0   1
153   1   1
154   0   1
155   0   1
156   1   1
157   0   1
158   0   0
159   1   0
160   0   0
161   0   0
162   1   0
163   0   0
164   0   1
165   1   1
166   0   1
167   0   1
168   1   1
169   0   1
170   0   0
171   1   0
172   0   0
173   0   0
174   1   0
175   1   1
